lat,lon,T_cold,GDD0,P_season,TP_syn,Aridity,ISO
32.6821982775972,-111.655579964698,108,7596,71,18,137,47
45.0145975233285,-123.91837918602,55,3789,72,-94,-136,47
39.4108444849791,-112.81743264334,-35,3819,21,-1,127,38
42.5060173209198,-114.631737547625,-27,3279,47,-67,99,38
49.6073024663518,-120.143480624435,-93,1443,25,21,49,32
57.8717462584179,-130.633901647726,-145,1044,43,38,21,31
25.3919805067833,-111.289244845162,151,7326,92,65,122,58
31.5449364633981,-106.359967860659,64,6219,68,66,135,46
31.6077141279251,-106.217713394301,64,6294,69,68,139,46
54.805181585221,-119.450374981824,-135,1863,37,76,0,28
29.0930358504439,-105.543298207168,83,6537,83,73,110,46
44.6533522315371,-112.464921350787,-85,2127,44,75,54,36
53.8663830176247,-132.379361045607,6,2505,45,-54,-118,31
47.0625144214861,-118.02294101813,-16,3429,50,-91,76,38
39.9781550694929,-121.680717461458,54,4770,91,-96,-67,45
40.0274486763546,-110.951412879304,-86,1818,18,-73,31,36
40.1319529348253,-110.065933368183,-86,3375,27,77,120,35
48.8971690387677,-123.937531136872,6,2592,70,-89,-121,36
18.8765679292919,-100.16025040376,185,7389,93,6,-56,66
42.8747714794825,-111.307179284084,-80,2166,15,-34,44,37
39.5944816060775,-110.073783718558,-61,2628,17,66,62,34
18.7854683436077,-101.121857142686,255,10170,97,17,71,65
52.4194470514203,-122.947977626671,-128,1386,39,56,14,36
30.6624567280385,-110.735203649748,70,5154,71,48,3,50
50.1391087931367,-127.817916223318,30,2754,64,-79,-159,37
31.2542419800328,-111.539194245233,96,6540,79,48,77,51
38.7901989855614,-118.948823243246,-15,3279,19,-35,137,45
50.0308501703494,-115.517216684676,-105,1848,15,-32,5,32
55.7742207365959,-122.418866694415,-146,1128,27,62,-21,27
25.1313743952697,-100.623174955106,111,6060,55,85,54,60
48.4309641180133,-117.760295116795,-59,2604,38,-78,38,32
59.3752384469989,-124.431770428218,-201,1701,48,81,1,25
57.9619507206282,-133.260697004013,-103,813,33,-2,-45,30
39.6159626383256,-112.41172106433,-29,3834,25,-35,104,37
32.0260159798807,-110.04595021786,68,5670,71,53,72,49
44.78386360488,-118.347286434187,-65,1887,47,-89,49,41
53.9211222657152,-118.26605548926,-111,1533,37,82,-13,33
57.7797611312973,-132.435365132458,-86,1914,38,-20,-47,28
53.714884636367,-128.699655447031,-30,2097,55,-70,-125,27
44.8216094505351,-109.196297611815,-59,2943,63,68,71,37
50.0832490786955,-125.942416584412,-6,1701,55,-84,-122,37
38.7504294848282,-113.140710477729,-27,3912,32,48,121,40
40.0491454312738,-116.886630122448,-20,3147,37,-57,77,40
40.1067486367505,-116.966101099698,-20,3099,38,-61,77,40
58.9039946696378,-118.60212739986,-231,1953,41,80,29,23
46.0832873654506,-119.794112484211,3,3906,50,-89,99,39
25.7415640924988,-105.517422220138,86,5376,85,68,15,60
50.2278963472304,-121.227506750619,-58,2226,23,-66,51,32
45.2150203176239,-122.263965537739,27,3339,71,-96,-134,42
45.5595639604959,-115.029004372272,-98,1194,27,-70,10,42
50.9263491233935,-123.502988787252,-110,870,21,-45,9,35
40.8928326234495,-106.384681315941,-81,1857,11,49,4,41
49.7923211435266,-109.148300679262,-136,2142,40,72,34,30
19.2600005613527,-100.342899015961,150,6357,90,35,-26,65
32.1939149983229,-107.58777957674,45,5253,75,60,96,48
31.6608426315874,-109.351820189202,44,4632,66,47,23,49
19.7895982344097,-97.9097605199957,106,4992,78,60,-6,68
32.3661196328962,-112.627366527624,111,7362,79,24,131,43
39.1494900572341,-118.719216252726,4,4209,20,-9,162,43
41.1509510487796,-104.414209958769,-32,3072,70,83,33,39
37.3139318780448,-107.52233277592,-65,2364,35,10,9,42
34.6106343011935,-113.51841330317,86,6636,69,-21,127,47
46.0475200129661,-123.690111859853,41,3399,72,-93,-142,47
